,averaged daily return,averaged daily return after transaction cost
2017-12-26,0.0013214526490617465,0.0013214526490617465
2017-12-27,-0.003946219580617273,-0.003946219580617273
2017-12-28,0.008896914605996646,0.008584414605996646
2017-12-29,0.0014397571304567477,0.0014397571304567477
2018-01-02,0.013946678170923049,0.013946678170923049
2018-01-03,0.014857471676680887,0.014857471676680887
2018-01-04,0.0032128254469443035,0.0032128254469443035
2018-01-05,0.0017761608771714196,0.0014011608771714195
2018-01-08,0.004913667139805023,0.004913667139805023
2018-01-09,0.003603550293206781,0.003603550293206781
2018-01-10,-0.001043714259643625,-0.001043714259643625
2018-01-11,0.0035879426823933616,0.0035879426823933616
2018-01-12,-0.005528878229092985,-0.005716378229092985
2018-01-15,-0.01353059718491187,-0.01353059718491187
2018-01-16,0.013964461162560943,0.013964461162560943
2018-01-17,-0.015399503770655238,-0.015399503770655238
2018-01-18,-0.0010119337121664085,-0.0010119337121664085
2018-01-19,-0.003632923919841386,-0.003882923919841386
2018-01-22,0.018445971959024022,0.018445971959024022
2018-01-23,0.005799528134937008,0.005799528134937008
2018-01-24,0.010348457766307929,0.010348457766307929
2018-01-25,-0.010055993122466023,-0.010055993122466023
2018-01-26,-0.0032650784284063397,-0.0036400784284063396
2018-01-29,-0.02073530711421237,-0.02073530711421237
2018-01-30,-0.01117106101376057,-0.01117106101376057
2018-01-31,-0.007588779193583288,-0.007588779193583288
2018-02-01,-0.026586424172901798,-0.026586424172901798
2018-02-02,0.0019831951374021076,0.0016706951374021075
2018-02-05,-0.004065037474350772,-0.004065037474350772
2018-02-06,-0.052602083563583826,-0.052602083563583826
2018-02-07,-0.01454202106291042,-0.01454202106291042
2018-02-08,0.007988731667729024,0.007988731667729024
2018-02-09,-0.048995107447186735,-0.049307607447186735
2018-02-12,0.02320782654769906,0.02320782654769906
2018-02-13,0.009335214502338983,0.009335214502338983
2018-02-14,0.009186561802924539,0.009186561802924539
2018-02-22,0.033316257288899004,0.033316257288899004
2018-02-23,0.010919714678869043,0.010294714678869043
2018-02-26,0.013534924086728302,0.013534924086728302
2018-02-27,-0.0146202492783469,-0.0146202492783469
2018-02-28,-0.0028713491099030446,-0.0028713491099030446
2018-03-01,0.005142104583727012,0.005142104583727012
2018-03-02,-0.008805859510452822,-0.009212109510452822
2018-03-05,0.0034681716340451167,0.0034681716340451167
2018-03-06,0.013188816779475815,0.013188816779475815
2018-03-07,-0.013078319963124653,-0.013078319963124653
2018-03-08,0.00252067829766587,0.00252067829766587
2018-03-09,0.01342566600507469,0.013167601488945658
2018-03-12,0.014234340349696527,0.014234340349696527
2018-03-13,-0.001323729058289388,-0.001323729058289388
2018-03-14,-0.008787850472848809,-0.008787850472848809
2018-03-15,0.004585601072123226,0.004585601072123226
2018-03-16,-0.013053823552071983,-0.013376404197233273
2018-03-19,0.0017626930888331555,0.0017626930888331555
2018-03-20,-0.003969684145047186,-0.003969684145047186
2018-03-21,-0.015369935988903925,-0.015369935988903925
2018-03-22,-0.007361915790197099,-0.007361915790197099
2018-03-23,-0.053268886188223286,-0.053526950704352316
2018-03-26,0.01306663136172948,0.01306663136172948
2018-03-27,0.0251728686038808,0.0251728686038808
2018-03-28,-0.020625222963326452,-0.020625222963326452
2018-03-29,0.01178167794441287,0.01178167794441287
2018-03-30,0.003335473730752565,0.0030128930855912745
2018-04-02,-0.005806357330280541,-0.005806357330280541
2018-04-03,-0.009215773918094906,-0.009215773918094906
2018-04-04,-0.004811969124447441,-0.004811969124447441
2018-04-09,-0.0038877143968477665,-0.0038877143968477665
2018-04-10,0.020624099147013727,0.02017248624378792
