,CMC 5-Long-Decile 1 Lookback 1-All,CMC 5-Long-Decile 1 Lookback 1-Positive,CMC 5-Long-Decile 1 Lookback 1-Negative,CMC 5-Short-Decile 10 Lookback 10-All,CMC 5-Short-Decile 10 Lookback 10-Positive,CMC 5-Short-Decile 10 Lookback 10-Negative,BM,CMC 5-Long-Decile 1 Lookback 1-All,CMC 5-Long-Decile 1 Lookback 1-Positive,CMC 5-Long-Decile 1 Lookback 1-Negative,CMC 5-Short-Decile 10 Lookback 10-All,CMC 5-Short-Decile 10 Lookback 10-Positive,CMC 5-Short-Decile 10 Lookback 10-Negative,Equal Weight
11/5/2018,-0.000301842,0.002290245,0.003765059,0.003800805,0.004215669,0.001814457,-0.001763333,1.537757077,1.422467528,1.635662789,1.721579333,1.457731153,1.451603196,0.811351788
11/6/2018,0.006475863,0.00290713,0.004538153,0.009927683,0.009713364,0.008598505,-0.004056667,1.547715381,1.426602826,1.643085677,1.738670627,1.471890627,1.464084813,0.808060404
11/7/2018,-0.002367642,0.003227761,-0.002015624,-0.002903737,-0.003555334,-0.002467825,-0.006793333,1.544050945,1.431207559,1.639773834,1.733621985,1.466657564,1.460471708,0.802570981
11/8/2018,0.000760252,0.004922021,-0.003304762,0.003594588,0.004977982,0.002348142,-0.006726667,1.545224813,1.438251992,1.634354772,1.739853642,1.473958559,1.463901103,0.797172353
11/9/2018,0.002791146,-0.001303274,0.000100456,0.00346165,0.000489601,0.004112363,-0.007463333,1.549537761,1.436377556,1.634518953,1.745876406,1.47468021,1.469921196,0.79122279
11/12/2018,0.001524889,-0.000835276,0.004536183,-0.000505296,0.000428239,0.00014084,0.018839465,1.551900634,1.435177784,1.64193343,1.744994222,1.475311726,1.47012822,0.806129004
11/13/2018,-0.002344584,-0.004026012,-0.00380364,-0.000616036,0.002152909,-0.000900362,0.012876254,1.548262073,1.429399741,1.635688106,1.743919243,1.478487938,1.468804572,0.816508926
11/14/2018,0.00063321,0.003837081,-0.000226272,0.001825471,0.000648153,0.001219847,-0.006411371,1.549242448,1.434884464,1.635317996,1.747102717,1.479446224,1.470596289,0.811273984
11/15/2018,0.002748578,0.001508236,0.004215864,0.004073362,0.001442467,0.001515759,0.014227425,1.553500661,1.437048608,1.642212274,1.754219298,1.481580277,1.472825358,0.822816324
11/16/2018,-0.003093925,0.000560329,0.002626487,0.002362646,0.001457372,0.003352456,0.007979933,1.548694247,1.437853828,1.646525523,1.758363898,1.48373949,1.477762941,0.829382343
11/19/2018,-0.002585981,-0.005376312,0.000710581,0.001298918,0.003829047,0.001815671,0.009719064,1.544689353,1.430123477,1.647695513,1.760647868,1.489420799,1.480446072,0.837443163
11/20/2018,-0.001223524,-0.003313052,1.80E-05,0.001678103,0.001585835,-0.003731924,-0.026077181,1.542799388,1.425385404,1.647725215,1.763602417,1.491782774,1.47492116,0.815605006
11/21/2018,-0.001367116,0.001720116,0.000879425,0.002584531,0.000590763,0.006395966,0.002705686,1.540690203,1.427837232,1.649174266,1.768160502,1.492664064,1.484354705,0.817811776
11/22/2018,0.001240956,0.000266644,0.00440343,9.46E-05,-0.000490706,-0.000454977,-0.002307692,1.542602131,1.428217956,1.65643629,1.768327797,1.491931605,1.483679358,0.815924518
11/23/2018,-0.004723667,0.000508606,-0.001836486,0.009065932,0.007346291,0.004167372,-0.03032107,1.535315393,1.428944357,1.653394268,1.784359336,1.502891769,1.489862402,0.791184814
11/26/2018,0.000780321,-0.002897739,-0.001506821,0.001416405,0.000166994,0.001527412,-0.0032,1.536513431,1.424803649,1.650902898,1.786886712,1.503142743,1.492138035,0.788653022
11/27/2018,0.00557845,0.000719447,0.003079529,-0.000116727,-0.001918982,0.000810323,0.001783333,1.545084795,1.42582872,1.655986902,1.786678134,1.500258239,1.493347149,0.790059453
11/28/2018,-0.005857642,-0.003500156,-0.006586798,0.006268277,0.008555546,0.006627696,0.014806667,1.536034241,1.420838097,1.64507925,1.797877527,1.513093767,1.5032446,0.8017576
11/29/2018,0.000166316,-0.001895681,0.000827918,0.001889045,0.000492563,0.003245109,-0.017366667,1.536289708,1.418144641,1.646441241,1.801273799,1.513839061,1.508122793,0.787833743
11/30/2018,0.005636581,0.003223367,0.004765889,-0.007733749,-0.004383087,-0.007222053,0.01104,1.54494913,1.422715842,1.654287997,1.787343199,1.507203773,1.49723105,0.796531428
12/3/2018,0.002405676,0.00226559,0.003741395,-0.006011695,-0.005161901,-0.006328949,0.02867,1.548665777,1.425939132,1.660477342,1.776598237,1.499423736,1.487755151,0.819367984
12/4/2018,-0.000392372,0.002817144,0.000585373,-0.003712718,-0.001189566,-0.003575881,0.00302,1.548058124,1.429956208,1.661449341,1.770002229,1.497640073,1.482435116,0.821842475
12/5/2018,-0.000688715,-0.001638384,-0.001471033,-0.005500255,-0.001880098,-0.007330466,-0.00484,1.546991953,1.427613391,1.659005294,1.760266765,1.494824363,1.471568175,0.817864758
12/6/2018,0.006585152,0.005710795,-0.002619228,0.002733723,0.007157462,0.000354983,-0.021123333,1.55717913,1.435766198,1.654659981,1.765078847,1.505523511,1.472090557,0.800588728
12/7/2018,0.000717774,0.004297071,-0.003904194,0.001624518,0.00057967,0.004917916,0.00208,1.558296833,1.441935787,1.648199867,1.767946249,1.506396218,1.479330175,0.802253952
12/10/2018,-0.000565189,0.000413569,-0.002489501,0.001600561,-0.003774985,0.001980084,-0.012436667,1.5574161,1.442532127,1.644096672,1.770775955,1.500709595,1.482259373,0.792276587
12/11/2018,-0.001775482,0.00114003,-0.003052244,2.30E-06,2.15E-05,0.00121619,0.005476667,1.554650936,1.444176657,1.639078488,1.770780033,1.500741872,1.484062082,0.796615622
12/12/2018,0.000739217,0.001625447,-0.002715591,0.002871079,0.002517069,0.001352382,0.00248,1.55580016,1.44652409,1.634627421,1.775864082,1.504519343,1.486069101,0.798591229
12/13/2018,0.000737553,0.001200934,-0.004445695,0.002188708,0.000824205,0.001729901,0.01292,1.556947646,1.44826127,1.627360366,1.77975093,1.505759375,1.488639853,0.808909028
12/14/2018,-0.000161363,0.001083281,0.000439454,0.002824575,0.002764442,0.001741171,-0.019444816,1.556696412,1.449830144,1.628075516,1.78477797,1.50992196,1.49123183,0.79317994
12/17/2018,-0.004708369,-0.000122062,-0.009139355,-0.002040026,-0.002306329,-0.005543702,-0.00141806,1.549366911,1.449653175,1.613195956,1.781136977,1.506439583,1.482964885,0.792055163
12/18/2018,0.000557775,0.003266452,-0.008672492,-0.004739383,-0.006230575,-0.002024312,-0.009735786,1.550231109,1.454388397,1.599205527,1.772695486,1.497053598,1.479962901,0.784343884
12/19/2018,0.002052554,-0.000897978,-0.000870795,0.004463753,0.004393743,0.004145791,-0.01232107,1.553413042,1.453082388,1.597812947,1.780608361,1.503631267,1.486098518,0.774679928
12/20/2018,0.001951044,-6.43E-05,-0.00167578,0.004202497,0.00188917,0.003757307,-0.001866221,1.556443819,1.452988947,1.595135364,1.788091363,1.506471882,1.491682246,0.773234204
12/21/2018,-0.000363104,-0.001387643,0.006040828,0.002561633,0.002915637,0.003675162,-0.010842809,1.555878668,1.450972717,1.604771302,1.792671796,1.510864207,1.49716442,0.764850173
12/24/2018,-0.001449791,0.000446936,-0.007589579,-0.002458539,-0.002590606,-0.003247736,0.004284281,1.553622969,1.451621209,1.592591764,1.788264443,1.506950153,1.492302026,0.768127006
12/25/2018,8.96E-05,-0.00118238,-0.00083548,-0.004238292,-0.00729636,-0.003539818,-0.010244966,1.553762174,1.449904841,1.591261185,1.780685256,1.495954903,1.487019548,0.760257571
12/26/2018,0.0049726,-0.000944756,-0.00107619,0.002760988,0.002223487,0.002341968,-0.004647651,1.561488412,1.448535035,1.589548686,1.785601707,1.499281139,1.4905021,0.756724159
12/27/2018,0.002213301,-0.00200257,-0.002125363,0.000492278,-0.003457335,0.000375527,-0.005973154,1.564944455,1.445634242,1.586170318,1.786480719,1.494097622,1.491061824,0.752204129
12/28/2018,0.0012476,-0.004174185,-0.004082081,0.000232642,0.001307359,0.00155531,0.005337793,1.56689688,1.439599897,1.579695442,1.786896329,1.496050944,1.493380887,0.756219238
