Date,Price,Open,High,Low,Vol.,Change %
18-Jul-18,"3,431.32","3,456.61","3,479.26","3,430.16",66.53K,-0.52%
17-Jul-18,"3,449.38","3,466.42","3,467.19","3,420.97",61.98K,-0.65%
16-Jul-18,"3,472.09","3,488.97","3,506.24","3,459.73",68.28K,-0.59%
13-Jul-18,"3,492.69","3,488.50","3,499.76","3,474.91",72.96K,0.33%
12-Jul-18,"3,481.06","3,403.33","3,499.10","3,403.33",96.35K,2.16%
11-Jul-18,"3,407.53","3,398.93","3,427.57","3,375.14",72.04K,-1.73%
10-Jul-18,"3,467.52","3,464.91","3,474.14","3,437.27",69.55K,0.24%
9-Jul-18,"3,459.18","3,378.91","3,459.32","3,378.91",76.60K,2.80%
6-Jul-18,"3,365.12","3,347.06","3,396.25","3,295.73",86.10K,0.68%
5-Jul-18,"3,342.44","3,365.55","3,398.49","3,330.71",81.59K,-0.63%
4-Jul-18,"3,363.75","3,398.78","3,418.33","3,359.09",75.16K,-1.34%
3-Jul-18,"3,409.28","3,410.48","3,422.04","3,319.29",95.28K,0.04%
2-Jul-18,"3,407.96","3,504.46","3,506.90","3,383.50",84.35K,-2.93%
29-Jun-18,"3,510.98","3,431.96","3,512.38","3,425.22",77.26K,2.55%
28-Jun-18,"3,423.53","3,434.94","3,477.06","3,416.95",75.92K,-1.03%
27-Jun-18,"3,459.26","3,525.13","3,537.66","3,441.78",81.49K,-2.03%
26-Jun-18,"3,531.11","3,521.59","3,541.78","3,478.21",84.99K,-0.82%
25-Jun-18,"3,560.48","3,625.80","3,631.03","3,559.03",79.88K,-1.34%
22-Jun-18,"3,608.90","3,567.89","3,609.08","3,542.46",75.12K,0.44%
21-Jun-18,"3,592.97","3,633.56","3,673.56","3,589.49",93.91K,-1.17%
20-Jun-18,"3,635.44","3,602.55","3,649.34","3,578.17",86.72K,0.40%
19-Jun-18,"3,621.12","3,702.67","3,712.82","3,583.02",160.71K,-3.53%
15-Jun-18,"3,753.43","3,763.04","3,780.34","3,737.43",85.49K,-0.53%
14-Jun-18,"3,773.37","3,774.64","3,808.16","3,759.25",68.47K,-0.40%
13-Jun-18,"3,788.34","3,814.62","3,817.45","3,782.07",66.38K,-0.98%
12-Jun-18,"3,825.95","3,783.19","3,830.47","3,765.26",73.21K,1.22%
11-Jun-18,"3,779.98","3,770.21","3,792.55","3,756.51",68.71K,0.01%
8-Jun-18,"3,779.62","3,819.45","3,819.46","3,759.27",83.34K,-1.34%
7-Jun-18,"3,831.01","3,846.94","3,859.85","3,827.69",80.26K,-0.17%
6-Jun-18,"3,837.35","3,839.68","3,848.33","3,830.90",73.12K,-0.21%
5-Jun-18,"3,845.32","3,811.29","3,845.56","3,800.93",78.69K,0.99%
4-Jun-18,"3,807.58","3,785.19","3,813.41","3,776.62",76.62K,0.98%
1-Jun-18,"3,770.59","3,789.67","3,802.54","3,753.84",77.82K,-0.84%
31-May-18,"3,802.38","3,749.30","3,804.79","3,742.53",92.67K,2.12%
30-May-18,"3,723.37","3,755.18","3,767.89","3,722.07",87.91K,-2.12%
29-May-18,"3,804.01","3,824.19","3,841.78","3,800.67",81.55K,-0.76%
28-May-18,"3,833.26","3,816.26","3,846.55","3,799.32",71.52K,0.44%
25-May-18,"3,816.50","3,823.74","3,841.12","3,804.13",70.84K,-0.28%
24-May-18,"3,827.22","3,853.29","3,859.10","3,823.92",68.35K,-0.71%
23-May-18,"3,854.58","3,898.27","3,898.27","3,854.58",83.72K,-1.32%
22-May-18,"3,906.21","3,918.82","3,918.82","3,881.17",75.37K,-0.38%
21-May-18,"3,921.24","3,925.54","3,937.46","3,913.60",92.64K,0.47%
18-May-18,"3,903.06","3,860.16","3,903.06","3,841.90",72.61K,1.01%
17-May-18,"3,864.05","3,895.49","3,899.51","3,858.85",59.03K,-0.74%
16-May-18,"3,892.84","3,909.82","3,923.34","3,889.19",71.91K,-0.80%
15-May-18,"3,924.10","3,920.14","3,924.34","3,892.92",76.05K,0.38%
14-May-18,"3,909.29","3,886.87","3,919.30","3,886.87",81.98K,0.94%
11-May-18,"3,872.84","3,902.15","3,903.34","3,871.95",73.36K,-0.52%
10-May-18,"3,893.06","3,882.84","3,894.49","3,867.31",70.67K,0.55%
9-May-18,"3,871.62","3,876.13","3,878.94","3,855.74",66.71K,-0.18%
8-May-18,"3,878.68","3,834.61","3,892.07","3,833.73",94.22K,1.16%
7-May-18,"3,834.19","3,782.54","3,834.59","3,776.03",87.29K,1.58%
4-May-18,"3,774.60","3,784.32","3,801.52","3,770.94",71.55K,-0.49%
3-May-18,"3,793.00","3,756.17","3,797.53","3,732.37",93.96K,0.78%
2-May-18,"3,763.65","3,769.93","3,787.30","3,744.55",83.30K,0.18%
27-Apr-18,"3,756.88","3,771.04","3,776.98","3,714.64",89.53K,0.04%
26-Apr-18,"3,755.49","3,823.39","3,828.71","3,744.89",87.15K,-1.91%
25-Apr-18,"3,828.70","3,824.59","3,838.69","3,817.03",78.17K,-0.38%
24-Apr-18,"3,843.49","3,769.88","3,854.43","3,769.88",114.22K,2.05%
23-Apr-18,"3,766.33","3,754.69","3,787.40","3,735.18",90.36K,0.15%
20-Apr-18,"3,760.85","3,801.21","3,815.44","3,750.10",99.28K,-1.34%
19-Apr-18,"3,811.84","3,774.78","3,824.03","3,767.80",99.05K,1.21%
18-Apr-18,"3,766.28","3,785.31","3,789.66","3,708.11",106.68K,0.47%
17-Apr-18,"3,748.64","3,812.87","3,822.63","3,745.44",90.61K,-1.58%
16-Apr-18,"3,808.86","3,862.47","3,869.16","3,789.61",99.22K,-1.61%
13-Apr-18,"3,871.14","3,920.74","3,929.95","3,866.19",71.54K,-0.71%
12-Apr-18,"3,898.64","3,935.67","3,937.78","3,896.18",82.70K,-1.01%
11-Apr-18,"3,938.34","3,934.17","3,958.71","3,924.96",111.93K,0.28%
10-Apr-18,"3,927.17","3,860.72","3,927.42","3,851.80",106.17K,1.93%
9-Apr-18,"3,852.93","3,851.95","3,870.67","3,827.41",84.11K,-0.05%
4-Apr-18,"3,854.86","3,873.63","3,898.61","3,852.50",88.73K,-0.20%
3-Apr-18,"3,862.48","3,850.15","3,878.15","3,839.93",95.14K,-0.63%
2-Apr-18,"3,886.92","3,897.01","3,937.02","3,882.89",111.24K,-0.30%
30-Mar-18,"3,898.50","3,893.75","3,915.35","3,879.21",97.51K,0.11%
29-Mar-18,"3,894.05","3,854.59","3,913.96","3,794.26",116.63K,1.34%
28-Mar-18,"3,842.72","3,865.05","3,907.28","3,835.88",101.50K,-1.80%
27-Mar-18,"3,913.27","3,927.49","3,936.78","3,881.87",113.70K,0.86%
26-Mar-18,"3,879.89","3,862.69","3,883.90","3,829.92",115.14K,-0.64%
23-Mar-18,"3,904.94","3,896.74","3,928.51","3,834.94",180.08K,-2.87%
22-Mar-18,"4,020.35","4,062.07","4,072.38","4,003.72",89.10K,-1.00%
21-Mar-18,"4,061.05","4,097.02","4,110.12","4,046.24",97.61K,-0.41%
20-Mar-18,"4,077.70","4,045.74","4,080.19","4,040.31",80.61K,0.08%
19-Mar-18,"4,074.25","4,054.62","4,074.52","4,033.52",81.50K,0.44%
16-Mar-18,"4,056.42","4,096.89","4,110.05","4,055.82",84.90K,-0.97%
15-Mar-18,"4,096.16","4,058.71","4,098.99","4,058.71",88.16K,0.56%
14-Mar-18,"4,073.34","4,076.06","4,089.09","4,066.49",99.01K,-0.44%
13-Mar-18,"4,091.25","4,124.33","4,130.28","4,087.56",111.77K,-0.88%
12-Mar-18,"4,127.67","4,130.71","4,139.53","4,112.77",140.91K,0.46%
9-Mar-18,"4,108.87","4,088.07","4,110.67","4,076.45",113.70K,0.77%
8-Mar-18,"4,077.60","4,038.95","4,078.23","4,029.71",91.16K,1.01%
7-Mar-18,"4,036.65","4,063.50","4,089.70","4,027.94",106.95K,-0.74%
6-Mar-18,"4,066.56","4,034.99","4,067.55","3,998.93",138.76K,1.21%
5-Mar-18,"4,018.10","4,021.66","4,042.83","3,995.87",87.95K,0.04%
2-Mar-18,"4,016.46","4,014.95","4,044.42","4,006.94",96.17K,-0.81%
1-Mar-18,"4,049.09","3,994.87","4,061.03","3,986.89",110.20K,0.63%
28-Feb-18,"4,023.64","4,016.79","4,051.71","3,991.71",109.34K,-0.87%
27-Feb-18,"4,058.98","4,120.87","4,120.87","4,051.81",125.93K,-1.44%
26-Feb-18,"4,118.42","4,093.40","4,128.74","4,048.98",137.88K,1.16%
23-Feb-18,"4,071.09","4,061.75","4,085.20","4,035.23",99.46K,0.45%
22-Feb-18,"4,052.73","4,020.97","4,058.79","4,009.92",105.81K,2.16%
14-Feb-18,"3,966.96","3,945.09","3,971.40","3,923.13",71.08K,0.80%
13-Feb-18,"3,935.63","3,925.60","3,986.98","3,925.60",112.57K,1.17%
12-Feb-18,"3,890.10","3,846.27","3,907.84","3,828.07",116.18K,1.29%
9-Feb-18,"3,840.65","3,896.17","3,911.29","3,759.15",206.35K,-4.27%
8-Feb-18,"4,012.05","4,022.88","4,071.67","3,974.68",159.27K,-0.95%
7-Feb-18,"4,050.50","4,205.74","4,212.57","4,048.42",203.13K,-2.37%
6-Feb-18,"4,148.89","4,182.33","4,211.52","4,131.56",214.91K,-2.93%
5-Feb-18,"4,274.15","4,204.46","4,274.15","4,200.14",161.35K,0.07%
2-Feb-18,"4,271.23","4,213.94","4,271.76","4,181.78",146.07K,0.60%
1-Feb-18,"4,245.90","4,276.34","4,287.39","4,214.29",190.00K,-0.70%
31-Jan-18,"4,275.90","4,234.11","4,287.86","4,232.77",145.21K,0.47%
30-Jan-18,"4,256.10","4,286.68","4,308.51","4,251.57",139.04K,-1.07%
29-Jan-18,"4,302.02","4,387.06","4,395.91","4,287.11",191.10K,-1.81%
